# RandomSeed is not predefined. Generated seed value:  6968595870316292916
# VNS started at: 2023-10-14 09:17:44.019923
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/teaching/max_ones_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/teaching/max_ones_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptima': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
113	1319	a_i	1111111111000000	10	10	True	
114	1320	a_i	1111111111000000	10	10	True	
115	1321	a_i	1111111111000000	10	10	True	
116	1322	a_i	1111111111000000	10	10	True	
117	1323	a_i	1111111111000000	10	10	True	
118	1324	a_i	1111111111000000	10	10	True	
119	1325	a_i	1111111111000000	10	10	True	
120	1326	a_i	1111111111000000	10	10	True	
121	1327	a_i	1111111111000000	10	10	True	
122	1328	a_i	1111111111000000	10	10	True	
123	1329	a_i	1111111111000000	10	10	True	
124	1330	a_i	1111111111000000	10	10	True	
125	1331	a_i	1111111111000000	10	10	True	
126	1332	a_i	1111111111000000	10	10	True	
127	1333	a_i	1111111111000000	10	10	True	
128	1334	a_i	1111111111000000	10	10	True	
129	1335	a_i	1111111111000000	10	10	True	
130	1336	a_i	1111111111000000	10	10	True	
131	1337	a_i	1111111111000000	10	10	True	
132	1338	a_i	1111111111000000	10	10	True	
133	1339	a_i	1111111111000000	10	10	True	
134	1340	a_i	1111111111000000	10	10	True	
135	1341	a_i	1111111111000000	10	10	True	
136	1342	a_i	1111111111000000	10	10	True	
137	1343	a_i	1111111111000000	10	10	True	
138	1344	a_i	1111111111000000	10	10	True	
139	1345	a_i	1111111111000000	10	10	True	
140	1346	a_i	1111111111000000	10	10	True	
141	1347	a_i	1111111111000000	10	10	True	
142	1348	a_i	1111111111000000	10	10	True	
143	1349	a_i	1111111111000000	10	10	True	
144	1350	a_i	1111111111000000	10	10	True	
145	1351	a_i	1111111111000000	10	10	True	
146	1352	a_i	1111111111000000	10	10	True	
147	1353	a_i	1111111111000000	10	10	True	
148	1354	a_i	1111111111000000	10	10	True	
149	1355	a_i	1111111111000000	10	10	True	
150	1356	a_i	1111111111000000	10	10	True	
151	1357	a_i	1111111111000000	10	10	True	
152	1358	a_i	1111111111000000	10	10	True	
153	1359	a_i	1111111111000000	10	10	True	
154	1360	a_i	1111111111000000	10	10	True	
155	1361	a_i	1111111111000000	10	10	True	
156	1362	a_i	1111111111000000	10	10	True	
157	1363	a_i	1111111111000000	10	10	True	
158	1364	a_i	1111111111000000	10	10	True	
159	1365	a_i	1111111111000000	10	10	True	
160	1366	a_i	1111111111000000	10	10	True	
161	1367	a_i	1111111111000000	10	10	True	
162	1368	a_i	1111111111000000	10	10	True	
163	1369	a_i	1111111111000000	10	10	True	
164	1370	a_i	1111111111000000	10	10	True	
165	1371	a_i	1111111111000000	10	10	True	
166	1372	a_i	1111111111000000	10	10	True	
167	1373	a_i	1111111111000000	10	10	True	
168	1374	a_i	1111111111000000	10	10	True	
169	1375	a_i	1111111111000000	10	10	True	
170	1376	a_i	1111111111000000	10	10	True	
171	1377	a_i	1111111111000000	10	10	True	
172	1378	a_i	1111111111000000	10	10	True	
173	1379	a_i	1111111111000000	10	10	True	
174	1380	a_i	1111111111000000	10	10	True	
175	1381	a_i	1111111111000000	10	10	True	
176	1382	a_i	1111111111000000	10	10	True	
177	1383	a_i	1111111111000000	10	10	True	
178	1384	a_i	1111111111000000	10	10	True	
179	1385	a_i	1111111111000000	10	10	True	
180	1386	a_i	1111111111000000	10	10	True	
181	1387	a_i	1111111111000000	10	10	True	
182	1388	a_i	1111111111000000	10	10	True	
183	1389	a_i	1111111111000000	10	10	True	
184	1390	a_i	1111111111000000	10	10	True	
185	1391	a_i	1111111111000000	10	10	True	
186	1392	a_i	1111111111000000	10	10	True	
187	1393	a_i	1111111111000000	10	10	True	
188	1394	a_i	1111111111000000	10	10	True	
189	1395	a_i	1111111111000000	10	10	True	
190	1396	a_i	1111111111000000	10	10	True	
191	1397	a_i	1111111111000000	10	10	True	
192	1398	a_i	1111111111000000	10	10	True	
193	1399	a_i	1111111111000000	10	10	True	
194	1400	a_i	1111111111000000	10	10	True	
195	1401	a_i	1111111111000000	10	10	True	
196	1402	a_i	1111111111000000	10	10	True	
197	1403	a_i	1111111111000000	10	10	True	
198	1404	a_i	1111111111000000	10	10	True	
199	1405	a_i	1111111111000000	10	10	True	
200	1406	a_i	1111111111000000	10	10	True	
201	1407	a_i	1111111111000000	10	10	True	
202	1408	a_i	1111111111000000	10	10	True	
203	1409	a_i	1111111111000000	10	10	True	
204	1410	a_i	1111111111000000	10	10	True	
205	1411	a_i	1111111111000000	10	10	True	
206	1412	a_i	1111111111000000	10	10	True	
207	1413	a_i	1111111111000000	10	10	True	
208	1414	a_i	1111111111000000	10	10	True	
209	1415	a_i	1111111111000000	10	10	True	
210	1416	a_i	1111111111000000	10	10	True	
211	1417	a_i	1111111111000000	10	10	True	
212	1418	a_i	1111111111000000	10	10	True	
213	1419	a_i	1111111111000000	10	10	True	
214	1420	a_i	1111111111000000	10	10	True	
215	1421	a_i	1111111111000000	10	10	True	
216	1422	a_i	1111111111000000	10	10	True	
217	1423	a_i	1111111111000000	10	10	True	
218	1424	a_i	1111111111000000	10	10	True	
219	1425	a_i	1111111111000000	10	10	True	
220	1426	a_i	1111111111000000	10	10	True	
221	1427	a_i	1111111111000000	10	10	True	
222	1428	a_i	1111111111000000	10	10	True	
223	1429	a_i	1111111111000000	10	10	True	
224	1430	a_i	1111111111000000	10	10	True	
225	1431	a_i	1111111111000000	10	10	True	
226	1432	a_i	1111111111000000	10	10	True	
227	1433	a_i	1111111111000000	10	10	True	
228	1434	a_i	1111111111000000	10	10	True	
229	1435	a_i	1111111111000000	10	10	True	
230	1436	a_i	1111111111000000	10	10	True	
231	1437	a_i	1111111111000000	10	10	True	
232	1438	a_i	1111111111000000	10	10	True	
233	1439	a_i	1111111111000000	10	10	True	
234	1440	a_i	1111111111000000	10	10	True	
235	1441	a_i	1111111111000000	10	10	True	
236	1442	a_i	1111111111000000	10	10	True	
237	1443	a_i	1111111111000000	10	10	True	
238	1444	a_i	1111111111000000	10	10	True	
239	1445	a_i	1111111111000000	10	10	True	
240	1446	a_i	1111111111000000	10	10	True	
241	1447	a_i	1111111111000000	10	10	True	
242	1448	a_i	1111111111000000	10	10	True	
243	1449	a_i	1111111111000000	10	10	True	
244	1450	a_i	1111111111000000	10	10	True	
245	1451	a_i	1111111111000000	10	10	True	
246	1452	a_i	1111111111000000	10	10	True	
247	1453	a_i	1111111111000000	10	10	True	
248	1454	a_i	1111111111000000	10	10	True	
249	1455	a_i	1111111111000000	10	10	True	
250	1456	a_i	1111111111000000	10	10	True	
251	1457	a_i	1111111111000000	10	10	True	
252	1458	a_i	1111111111000000	10	10	True	
253	1459	a_i	1111111111000000	10	10	True	
254	1460	a_i	1111111111000000	10	10	True	
255	1461	a_i	1111111111000000	10	10	True	
256	1462	a_i	1111111111000000	10	10	True	
257	1463	a_i	1111111111000000	10	10	True	
258	1464	a_i	1111111111000000	10	10	True	
259	1465	a_i	1111111111000000	10	10	True	
260	1466	a_i	1111111111000000	10	10	True	
261	1467	a_i	1111111111000000	10	10	True	
262	1468	a_i	1111111111000000	10	10	True	
263	1469	a_i	1111111111000000	10	10	True	
264	1470	a_i	1111111111000000	10	10	True	
265	1471	a_i	1111111111000000	10	10	True	
266	1472	a_i	1111111111000000	10	10	True	
267	1473	a_i	1111111111000000	10	10	True	
268	1474	a_i	1111111111000000	10	10	True	
269	1475	a_i	1111111111000000	10	10	True	
270	1476	a_i	1111111111000000	10	10	True	
271	1477	a_i	1111111111000000	10	10	True	
272	1478	a_i	1111111111000000	10	10	True	
273	1479	a_i	1111111111000000	10	10	True	
274	1480	a_i	1111111111000000	10	10	True	
275	1481	a_i	1111111111000000	10	10	True	
276	1482	a_i	1111111111000000	10	10	True	
277	1483	a_i	1111111111000000	10	10	True	
278	1484	a_i	1111111111000000	10	10	True	
279	1485	a_i	1111111111000000	10	10	True	
280	1486	a_i	1111111111000000	10	10	True	
281	1487	a_i	1111111111000000	10	10	True	
282	1488	a_i	1111111111000000	10	10	True	
283	1489	a_i	1111111111000000	10	10	True	
284	1490	a_i	1111111111000000	10	10	True	
285	1491	a_i	1111111111000000	10	10	True	
286	1492	a_i	1111111111000000	10	10	True	
287	1493	a_i	1111111111000000	10	10	True	
288	1494	a_i	1111111111000000	10	10	True	
289	1495	a_i	1111111111000000	10	10	True	
290	1496	a_i	1111111111000000	10	10	True	
291	1497	a_i	1111111111000000	10	10	True	
292	1498	a_i	1111111111000000	10	10	True	
293	1499	a_i	1111111111000000	10	10	True	
294	1500	a_i	1111111111000000	10	10	True	
295	1501	a_i	1111111111000000	10	10	True	
296	1502	a_i	1111111111000000	10	10	True	
297	1503	a_i	1111111111000000	10	10	True	
298	1504	a_i	1111111111000000	10	10	True	
299	1505	a_i	1111111111000000	10	10	True	
300	1506	a_i	1111111111000000	10	10	True	
301	1507	a_i	1111111111000000	10	10	True	
302	1508	a_i	1111111111000000	10	10	True	
303	1509	a_i	1111111111000000	10	10	True	
304	1510	a_i	1111111111000000	10	10	True	
305	1511	a_i	1111111111000000	10	10	True	
306	1512	a_i	1111111111000000	10	10	True	
307	1513	a_i	1111111111000000	10	10	True	
308	1514	a_i	1111111111000000	10	10	True	
309	1515	a_i	1111111111000000	10	10	True	
310	1516	a_i	1111111111000000	10	10	True	
311	1517	a_i	1111111111000000	10	10	True	
312	1518	a_i	1111111111000000	10	10	True	
313	1519	a_i	1111111111000000	10	10	True	
314	1520	a_i	1111111111000000	10	10	True	
315	1521	a_i	1111111111000000	10	10	True	
316	1522	a_i	1111111111000000	10	10	True	
317	1523	a_i	1111111111000000	10	10	True	
318	1524	a_i	1111111111000000	10	10	True	
319	1525	a_i	1111111111000000	10	10	True	
320	1526	a_i	1111111111000000	10	10	True	
321	1527	a_i	1111111111000000	10	10	True	
322	1528	a_i	1111111111000000	10	10	True	
323	1529	a_i	1111111111000000	10	10	True	
324	1530	a_i	1111111111000000	10	10	True	
325	1531	a_i	1111111111000000	10	10	True	
326	1532	a_i	1111111111000000	10	10	True	
327	1533	a_i	1111111111000000	10	10	True	
328	1534	a_i	1111111111000000	10	10	True	
329	1535	a_i	1111111111000000	10	10	True	
