# RandomSeed is not predefined. Generated seed value:  4110100093912798890
# variable_neighborhood_search started at: 2024-01-15 09:22:04.889723
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/comb/ones_count_max_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/comb/ones_count_max_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsIsActive': True, 'additionalStatisticsKeep': 'none', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
103	1281	a_i	1111111111	10	10	True	XXX	
104	1282	a_i	1111111111	10	10	True	XXX	
105	1283	a_i	1111111111	10	10	True	XXX	
106	1284	a_i	1111111111	10	10	True	XXX	
107	1285	a_i	1111111111	10	10	True	XXX	
108	1286	a_i	1111111111	10	10	True	XXX	
109	1287	a_i	1111111111	10	10	True	XXX	
110	1288	a_i	1111111111	10	10	True	XXX	
111	1289	a_i	1111111111	10	10	True	XXX	
112	1290	a_i	1111111111	10	10	True	XXX	
113	1291	a_i	1111111111	10	10	True	XXX	
114	1292	a_i	1111111111	10	10	True	XXX	
115	1293	a_i	1111111111	10	10	True	XXX	
116	1294	a_i	1111111111	10	10	True	XXX	
117	1295	a_i	1111111111	10	10	True	XXX	
118	1296	a_i	1111111111	10	10	True	XXX	
119	1297	a_i	1111111111	10	10	True	XXX	
120	1298	a_i	1111111111	10	10	True	XXX	
121	1299	a_i	1111111111	10	10	True	XXX	
122	1300	a_i	1111111111	10	10	True	XXX	
123	1301	a_i	1111111111	10	10	True	XXX	
124	1302	a_i	1111111111	10	10	True	XXX	
125	1303	a_i	1111111111	10	10	True	XXX	
126	1304	a_i	1111111111	10	10	True	XXX	
127	1305	a_i	1111111111	10	10	True	XXX	
128	1306	a_i	1111111111	10	10	True	XXX	
129	1307	a_i	1111111111	10	10	True	XXX	
130	1308	a_i	1111111111	10	10	True	XXX	
131	1309	a_i	1111111111	10	10	True	XXX	
132	1310	a_i	1111111111	10	10	True	XXX	
133	1311	a_i	1111111111	10	10	True	XXX	
134	1312	a_i	1111111111	10	10	True	XXX	
135	1313	a_i	1111111111	10	10	True	XXX	
136	1314	a_i	1111111111	10	10	True	XXX	
137	1315	a_i	1111111111	10	10	True	XXX	
138	1316	a_i	1111111111	10	10	True	XXX	
139	1317	a_i	1111111111	10	10	True	XXX	
140	1318	a_i	1111111111	10	10	True	XXX	
141	1319	a_i	1111111111	10	10	True	XXX	
142	1320	a_i	1111111111	10	10	True	XXX	
143	1321	a_i	1111111111	10	10	True	XXX	
144	1322	a_i	1111111111	10	10	True	XXX	
145	1323	a_i	1111111111	10	10	True	XXX	
146	1324	a_i	1111111111	10	10	True	XXX	
