# RandomSeed is not predefined. Generated seed value:  3554508247069892059
# VNS started at: 2023-10-08 08:29:01.387235
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/trivial/max_ones_problem/outputs/dimension_10.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.string_representation()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/trivial/max_ones_problem/inputs/dimension_10.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptima': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'BitArray', 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	
113	1250	a_i	1111111111000000	10	10	True	
114	1251	a_i	1111111111000000	10	10	True	
115	1252	a_i	1111111111000000	10	10	True	
116	1253	a_i	1111111111000000	10	10	True	
117	1254	a_i	1111111111000000	10	10	True	
118	1255	a_i	1111111111000000	10	10	True	
119	1256	a_i	1111111111000000	10	10	True	
120	1257	a_i	1111111111000000	10	10	True	
121	1258	a_i	1111111111000000	10	10	True	
122	1259	a_i	1111111111000000	10	10	True	
123	1260	a_i	1111111111000000	10	10	True	
124	1261	a_i	1111111111000000	10	10	True	
125	1262	a_i	1111111111000000	10	10	True	
126	1263	a_i	1111111111000000	10	10	True	
127	1264	a_i	1111111111000000	10	10	True	
128	1265	a_i	1111111111000000	10	10	True	
129	1266	a_i	1111111111000000	10	10	True	
130	1267	a_i	1111111111000000	10	10	True	
131	1268	a_i	1111111111000000	10	10	True	
132	1269	a_i	1111111111000000	10	10	True	
133	1270	a_i	1111111111000000	10	10	True	
134	1271	a_i	1111111111000000	10	10	True	
135	1272	a_i	1111111111000000	10	10	True	
136	1273	a_i	1111111111000000	10	10	True	
137	1274	a_i	1111111111000000	10	10	True	
138	1275	a_i	1111111111000000	10	10	True	
139	1276	a_i	1111111111000000	10	10	True	
140	1277	a_i	1111111111000000	10	10	True	
141	1278	a_i	1111111111000000	10	10	True	
142	1279	a_i	1111111111000000	10	10	True	
143	1280	a_i	1111111111000000	10	10	True	
144	1281	a_i	1111111111000000	10	10	True	
145	1282	a_i	1111111111000000	10	10	True	
146	1283	a_i	1111111111000000	10	10	True	
147	1284	a_i	1111111111000000	10	10	True	
148	1285	a_i	1111111111000000	10	10	True	
149	1286	a_i	1111111111000000	10	10	True	
150	1287	a_i	1111111111000000	10	10	True	
151	1288	a_i	1111111111000000	10	10	True	
152	1289	a_i	1111111111000000	10	10	True	
153	1290	a_i	1111111111000000	10	10	True	
154	1291	a_i	1111111111000000	10	10	True	
155	1292	a_i	1111111111000000	10	10	True	
156	1293	a_i	1111111111000000	10	10	True	
157	1294	a_i	1111111111000000	10	10	True	
158	1295	a_i	1111111111000000	10	10	True	
159	1296	a_i	1111111111000000	10	10	True	
160	1297	a_i	1111111111000000	10	10	True	
161	1298	a_i	1111111111000000	10	10	True	
162	1299	a_i	1111111111000000	10	10	True	
163	1300	a_i	1111111111000000	10	10	True	
164	1301	a_i	1111111111000000	10	10	True	
165	1302	a_i	1111111111000000	10	10	True	
166	1303	a_i	1111111111000000	10	10	True	
167	1304	a_i	1111111111000000	10	10	True	
168	1305	a_i	1111111111000000	10	10	True	
169	1306	a_i	1111111111000000	10	10	True	
170	1307	a_i	1111111111000000	10	10	True	
171	1308	a_i	1111111111000000	10	10	True	
172	1309	a_i	1111111111000000	10	10	True	
173	1310	a_i	1111111111000000	10	10	True	
174	1311	a_i	1111111111000000	10	10	True	
175	1312	a_i	1111111111000000	10	10	True	
176	1313	a_i	1111111111000000	10	10	True	
177	1314	a_i	1111111111000000	10	10	True	
178	1315	a_i	1111111111000000	10	10	True	
179	1316	a_i	1111111111000000	10	10	True	
180	1317	a_i	1111111111000000	10	10	True	
181	1318	a_i	1111111111000000	10	10	True	
182	1319	a_i	1111111111000000	10	10	True	
183	1320	a_i	1111111111000000	10	10	True	
184	1321	a_i	1111111111000000	10	10	True	
185	1322	a_i	1111111111000000	10	10	True	
186	1323	a_i	1111111111000000	10	10	True	
187	1324	a_i	1111111111000000	10	10	True	
188	1325	a_i	1111111111000000	10	10	True	
189	1326	a_i	1111111111000000	10	10	True	
190	1327	a_i	1111111111000000	10	10	True	
191	1328	a_i	1111111111000000	10	10	True	
192	1329	a_i	1111111111000000	10	10	True	
193	1330	a_i	1111111111000000	10	10	True	
194	1331	a_i	1111111111000000	10	10	True	
195	1332	a_i	1111111111000000	10	10	True	
196	1333	a_i	1111111111000000	10	10	True	
197	1334	a_i	1111111111000000	10	10	True	
198	1335	a_i	1111111111000000	10	10	True	
199	1336	a_i	1111111111000000	10	10	True	
200	1337	a_i	1111111111000000	10	10	True	
201	1338	a_i	1111111111000000	10	10	True	
202	1339	a_i	1111111111000000	10	10	True	
203	1340	a_i	1111111111000000	10	10	True	
204	1341	a_i	1111111111000000	10	10	True	
205	1342	a_i	1111111111000000	10	10	True	
206	1343	a_i	1111111111000000	10	10	True	
207	1344	a_i	1111111111000000	10	10	True	
208	1345	a_i	1111111111000000	10	10	True	
209	1346	a_i	1111111111000000	10	10	True	
210	1347	a_i	1111111111000000	10	10	True	
211	1348	a_i	1111111111000000	10	10	True	
212	1349	a_i	1111111111000000	10	10	True	
213	1350	a_i	1111111111000000	10	10	True	
214	1351	a_i	1111111111000000	10	10	True	
215	1352	a_i	1111111111000000	10	10	True	
216	1353	a_i	1111111111000000	10	10	True	
217	1354	a_i	1111111111000000	10	10	True	
218	1355	a_i	1111111111000000	10	10	True	
219	1356	a_i	1111111111000000	10	10	True	
220	1357	a_i	1111111111000000	10	10	True	
221	1358	a_i	1111111111000000	10	10	True	
222	1359	a_i	1111111111000000	10	10	True	
223	1360	a_i	1111111111000000	10	10	True	
224	1361	a_i	1111111111000000	10	10	True	
225	1362	a_i	1111111111000000	10	10	True	
226	1363	a_i	1111111111000000	10	10	True	
227	1364	a_i	1111111111000000	10	10	True	
228	1365	a_i	1111111111000000	10	10	True	
229	1366	a_i	1111111111000000	10	10	True	
230	1367	a_i	1111111111000000	10	10	True	
231	1368	a_i	1111111111000000	10	10	True	
232	1369	a_i	1111111111000000	10	10	True	
233	1370	a_i	1111111111000000	10	10	True	
234	1371	a_i	1111111111000000	10	10	True	
235	1372	a_i	1111111111000000	10	10	True	
236	1373	a_i	1111111111000000	10	10	True	
237	1374	a_i	1111111111000000	10	10	True	
238	1375	a_i	1111111111000000	10	10	True	
239	1376	a_i	1111111111000000	10	10	True	
240	1377	a_i	1111111111000000	10	10	True	
241	1378	a_i	1111111111000000	10	10	True	
242	1379	a_i	1111111111000000	10	10	True	
243	1380	a_i	1111111111000000	10	10	True	
244	1381	a_i	1111111111000000	10	10	True	
245	1382	a_i	1111111111000000	10	10	True	
246	1383	a_i	1111111111000000	10	10	True	
247	1384	a_i	1111111111000000	10	10	True	
248	1385	a_i	1111111111000000	10	10	True	
249	1386	a_i	1111111111000000	10	10	True	
250	1387	a_i	1111111111000000	10	10	True	
251	1388	a_i	1111111111000000	10	10	True	
252	1389	a_i	1111111111000000	10	10	True	
253	1390	a_i	1111111111000000	10	10	True	
254	1391	a_i	1111111111000000	10	10	True	
255	1392	a_i	1111111111000000	10	10	True	
256	1393	a_i	1111111111000000	10	10	True	
257	1394	a_i	1111111111000000	10	10	True	
258	1395	a_i	1111111111000000	10	10	True	
259	1396	a_i	1111111111000000	10	10	True	
260	1397	a_i	1111111111000000	10	10	True	
261	1398	a_i	1111111111000000	10	10	True	
262	1399	a_i	1111111111000000	10	10	True	
263	1400	a_i	1111111111000000	10	10	True	
264	1401	a_i	1111111111000000	10	10	True	
265	1402	a_i	1111111111000000	10	10	True	
266	1403	a_i	1111111111000000	10	10	True	
267	1404	a_i	1111111111000000	10	10	True	
268	1405	a_i	1111111111000000	10	10	True	
269	1406	a_i	1111111111000000	10	10	True	
270	1407	a_i	1111111111000000	10	10	True	
271	1408	a_i	1111111111000000	10	10	True	
272	1409	a_i	1111111111000000	10	10	True	
273	1410	a_i	1111111111000000	10	10	True	
274	1411	a_i	1111111111000000	10	10	True	
275	1412	a_i	1111111111000000	10	10	True	
276	1413	a_i	1111111111000000	10	10	True	
277	1414	a_i	1111111111000000	10	10	True	
278	1415	a_i	1111111111000000	10	10	True	
279	1416	a_i	1111111111000000	10	10	True	
280	1417	a_i	1111111111000000	10	10	True	
281	1418	a_i	1111111111000000	10	10	True	
282	1419	a_i	1111111111000000	10	10	True	
283	1420	a_i	1111111111000000	10	10	True	
284	1421	a_i	1111111111000000	10	10	True	
285	1422	a_i	1111111111000000	10	10	True	
286	1423	a_i	1111111111000000	10	10	True	
287	1424	a_i	1111111111000000	10	10	True	
288	1425	a_i	1111111111000000	10	10	True	
289	1426	a_i	1111111111000000	10	10	True	
290	1427	a_i	1111111111000000	10	10	True	
291	1428	a_i	1111111111000000	10	10	True	
292	1429	a_i	1111111111000000	10	10	True	
293	1430	a_i	1111111111000000	10	10	True	
294	1431	a_i	1111111111000000	10	10	True	
295	1432	a_i	1111111111000000	10	10	True	
296	1433	a_i	1111111111000000	10	10	True	
297	1434	a_i	1111111111000000	10	10	True	
298	1435	a_i	1111111111000000	10	10	True	
299	1436	a_i	1111111111000000	10	10	True	
300	1437	a_i	1111111111000000	10	10	True	
301	1438	a_i	1111111111000000	10	10	True	
302	1439	a_i	1111111111000000	10	10	True	
303	1440	a_i	1111111111000000	10	10	True	
304	1441	a_i	1111111111000000	10	10	True	
305	1442	a_i	1111111111000000	10	10	True	
306	1443	a_i	1111111111000000	10	10	True	
307	1444	a_i	1111111111000000	10	10	True	
308	1445	a_i	1111111111000000	10	10	True	
309	1446	a_i	1111111111000000	10	10	True	
310	1447	a_i	1111111111000000	10	10	True	
