# RandomSeed is not predefined. Generated seed value:  3486538429250458220
# variable_neighborhood_search started at: 2024-01-11 17:03:46.845042
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'outputs/(7-x2)[-3,3].csv', 'outputFileNameAppendTimeStamp': False, 'outputFields': 'iteration, evaluation, self.best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'inputs/(7-x2)[-3,3].txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations', 'finishEvaluationsMax': 500, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 0, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 0, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'localSearchBestImprovement', 'solutionType': 'int', 'solutionNumberOfIntervals': 2000, 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	self_best_solution_argument	
1	500	a_i	1571.301	6.999271	6.999271	True	XXX	
1	500	a_a	1571.301	6.999271	6.999271	True	XXX	
