# RandomSeed is not predefined. Generated seed value:  7065294258981444761
# variable_neighborhood_search started at: 2023-11-01 21:15:46.442243
# Execution parameters: {'algorithm': 'variable_neighborhood_search', 'optimization_type': 'maximization', 'writeToOutputFile': True, 'outputFilePath': 'opt/single_objective/teaching/function_one_variable_problem/outputs/7-x^2f-3t3.csv', 'outputFileNameAppendTimeStamp': True, 'outputFields': 'iteration, evaluation, best_solution.argument()', 'outputMoments': 'after_algorithm, after_iteration', 'inputFilePath': 'opt/single_objective/teaching/function_one_variable_problem/inputs/7-x^2f-3t3.txt', 'inputFormat': 'txt', 'finishCriteria': 'evaluations & seconds', 'finishEvaluationsMax': 3000, 'finishIterationsMax': 0, 'finishSecondsMax': 0, 'randomSeed': 0, 'solutionEvaluationCacheIsUsed': True, 'solutionEvaluationCacheMaxSize': 100000, 'solutionDistanceCalculationCacheIsUsed': True, 'solutionDistanceCalculationCacheMaxSize': 300000, 'additionalStatisticsKeep': 'None', 'additionalStatisticsMaxLocalOptimaCount': 5, 'kMin': 1, 'kMax': 3, 'localSearchType': 'local_search_best_improvement', 'solutionType': 'int', 'solutionNumberOfIntervals': 2000, 'log': 'warning'}
iteration	evaluation	step_name	best_solution_string_representation	best_solution_fitness_value	best_solution_objective_value	best_solution_is_feasible	best_solution_argument	
1	3001	a_i	0.0	7.0	7.0	True	XXX	
1	3001	a_a	0.0	7.0	7.0	True	XXX	
